公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
北京金山软件有限公司,金山办公软件,2000人以上,上市公司,东湖新技术开发区,服务端开发,3-5年,本科,15k-30k,"六险一金,年度体检,高额餐补,年度旅游"
北京小米科技有限责任公司,小米,2000人以上,D轮及以上,江夏区,嵌入式应用开发工程师 - Linux应用开发方向,不限,本科,18k-35k,miot
武汉约跑社体育文化管理有限公司,约跑社,15-50人,天使轮,汉阳区,后台开发工程师,不限,本科,6k-12k,2017武汉大学生创业十佳企业
网来云商环球信息技术（武汉）有限公司,网来云商,50-150人,A轮,洪山区,高级前端开发工程师,5-10年,本科,8k-15k,"周末双休,五险一金"
武汉虹旭信息技术有限责任公司,烽火科技&middot;虹旭信息技术有限公司,150-500人,不需要融资,江夏区,大数据开发工程师,1-3年,本科,6k-10k,"前景广阔,福利完善,通勤班车,提供食宿"
唯伊云（武汉）科技有限公司,唯伊云,15-50人,未融资,洪山区,全栈工程师,3-5年,本科,20k-30k,有五险一金，专注技术，往人工智能方向培养
安徽百得思维信息科技有限公司,百得思维,500-2000人,未融资,洪山区,应用运维工程师,5-10年,大专,14k-18k,"试用期全薪,五险一金,双休"
武汉华中时讯科技有限责任公司,华中时讯,50-150人,A轮,洪山区,后台开发工程师,应届毕业生,不限,7k-14k,"社交领域,大牛云集,充分授权,扁平管理"
武汉轻购云科技有限公司,轻购云,15-50人,A轮,东湖新技术开发区,嵌入式开发工程师,5-10年,本科,6k-11k,"旅游,奖金,期权"
乐约电子科技（上海）有限公司北京分公司,乐约健康,150-500人,C轮,武昌区,测试工程师,3-5年,大专,8k-10k,带薪假期
深圳市宇轩网络技术有限公司武汉分公司,宇轩网络,500-2000人,C轮,洪山区,运维工程师,1-3年,大专,5k-10k,五险一金 晋升通道 出国学习 扁平管理
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,洪山区,后端开发Leader,不限,本科,25k-40k,六险一金，高薪期权，租房补贴，扁平管理
上海昊沧系统控制技术有限责任公司,昊沧,150-500人,B轮,洪山区,数据挖掘工程师,1-3年,本科,10k-20k,年终奖
武汉皮皮外语网络科技有限公司,皮皮外语,15-50人,未融资,东湖新技术开发区,Web全栈高级开发工程师,5-10年,本科,15k-20k,"早九晚六,弹性工作制,五险一金"
武汉然诺管理咨询有限公司,RulerTech然诺,15-50人,天使轮,洪山区,自动化测试工程师,3-5年,本科,10k-15k,"平台开放,台资企业,五险一金,福利丰富"
北京金山软件有限公司,金山办公软件,2000人以上,上市公司,东湖新技术开发区,测试工程师,3-5年,本科,10k-15k,"六险一金,年假多,年度旅游,年终奖"
武汉斗鱼网络科技有限公司,斗鱼直播,2000人以上,D轮及以上,洪山区,监控工程师,1-3年,本科,4k-8k,"知名平台,薪酬待遇佳,发展空间大"
武汉南博网络科技有限公司,南博科技,150-500人,未融资,东湖新技术开发区,图像识别工程师,不限,硕士,10k-20k,"电子商务,周末双休,高速发展,公司氛围好"
任子行网络技术股份有限公司,任子行,500-2000人,上市公司,东湖新技术开发区,高级前端开发工程师,5-10年,本科,10k-20k,"六险一金,午餐补贴,周末双休,股权激励"
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,洪山区,后端开发Leader,不限,本科,25k-40k,六险一金，高薪期权，租房补贴，扁平管理
武汉烽火普天信息技术有限公司,烽火普天,50-150人,A轮,东湖新技术开发区,大数据架构工程师,3-5年,本科,15k-30k,"大牛带队,发展空间大,公司发展快,项目机会多"
